video_path,source_frame,driving_frame
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#NXjT3732Ekg#001093#001192.mp4,63,115
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#NXjT3732Ekg#001093#001192.mp4,18,54
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#NXjT3732Ekg#001093#001192.mp4,108,12
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#NXjT3732Ekg#001093#001192.mp4,34,58
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#NXjT3732Ekg#001093#001192.mp4,107,72
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#000330#001148.mp4,562,417
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#000330#001148.mp4,198,565
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#000330#001148.mp4,427,594
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#000330#001148.mp4,178,392
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#000330#001148.mp4,551,677
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#001538#002000.mp4,437,67
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#001538#002000.mp4,276,358
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#001538#002000.mp4,225,420
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#001538#002000.mp4,0,178
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#001538#002000.mp4,57,160
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002006#002397.mp4,199,324
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002006#002397.mp4,229,331
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002006#002397.mp4,237,202
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002006#002397.mp4,73,34
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002006#002397.mp4,379,262
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002515#002899.mp4,5,89
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002515#002899.mp4,255,82
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002515#002899.mp4,190,18
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002515#002899.mp4,128,44
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10280#XiKRlssBw2M#002515#002899.mp4,204,21
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#002838#003031.mp4,75,130
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#002838#003031.mp4,122,31
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#002838#003031.mp4,86,49
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#002838#003031.mp4,100,10
C:\Users\mobil\Desktop\verilight\CVPR2022-DaGAN\video-preprocessing\vox\test\id10281#dX8RBKI2FKc#002838#003031.mp4,152,3
