00000149) perceptual - 145.92886; gen_gan - 0.69345; feature_matching - 5.79509; equivariance_value - 1.22071; equivariance_jacobian - 1.35193; kp_distance - 3.13796; verilight - 2.21354; disc_gan - 0.20743
00000149) perceptual - 116.80534; gen_gan - 0.62131; feature_matching - 4.98500; equivariance_value - 0.46226; equivariance_jacobian - 0.70990; kp_distance - 2.11153; verilight - 2.82001; disc_gan - 0.25671
00000149) perceptual - 156.76721; gen_gan - 0.65341; feature_matching - 5.25980; equivariance_value - 1.71300; equivariance_jacobian - 6.41344; kp_distance - 2.51632; verilight - 1.87534; disc_gan - 0.23855
00000149) perceptual - 174.52620; gen_gan - 0.79598; feature_matching - 6.96611; equivariance_value - 1.69349; equivariance_jacobian - 2.24400; kp_distance - 2.34771; verilight - 4.45862; disc_gan - 0.16126
00000149) perceptual - 159.24117; gen_gan - 0.78005; feature_matching - 6.71593; equivariance_value - 1.36616; equivariance_jacobian - 1.30351; kp_distance - 2.33677; verilight - 2.12276; disc_gan - 0.16122
00000149) perceptual - 102.96574; gen_gan - 0.56135; feature_matching - 4.36358; equivariance_value - 0.29471; equivariance_jacobian - 0.57881; kp_distance - 1.08232; verilight - 1.59571; disc_gan - 0.29755
00000149) perceptual - 102.70418; gen_gan - 0.54673; feature_matching - 4.28594; equivariance_value - 0.38665; equivariance_jacobian - 0.62814; kp_distance - 1.06850; verilight - 0.44824; disc_gan - 0.30809
00000149) perceptual - 96.17414; gen_gan - 0.51385; feature_matching - 3.90371; equivariance_value - 0.26382; equivariance_jacobian - 0.49802; kp_distance - 1.01732; verilight - 0.10742; disc_gan - 0.33067
00000149) perceptual - 104.39713; gen_gan - 0.57712; feature_matching - 4.36359; equivariance_value - 0.25955; equivariance_jacobian - 0.54940; kp_distance - 1.42805; verilight - 1.63528; disc_gan - 0.28831
00000149) perceptual - 173.22803; gen_gan - 0.55103; feature_matching - 6.07531; equivariance_value - 0.99976; equivariance_jacobian - 2.53302; kp_distance - 2.24000; verilight - 3.29114; disc_gan - 0.49229
00000149) perceptual - 145.41942; gen_gan - 0.56327; feature_matching - 5.31582; equivariance_value - 0.43597; equivariance_jacobian - 0.75024; kp_distance - 2.36064; verilight - 2.44582; disc_gan - 0.42216
00000150) perceptual - 130.62868; gen_gan - 0.60647; feature_matching - 5.13406; equivariance_value - 0.45081; equivariance_jacobian - 0.71564; kp_distance - 2.57354; verilight - 1.94900; disc_gan - 0.26376
00000151) perceptual - 154.43729; gen_gan - 0.66226; feature_matching - 6.08760; equivariance_value - 0.96732; equivariance_jacobian - 1.06892; kp_distance - 2.65016; verilight - 3.60069; disc_gan - 0.24385
00000152) perceptual - 149.79515; gen_gan - 0.72314; feature_matching - 6.18886; equivariance_value - 0.90645; equivariance_jacobian - 1.13186; kp_distance - 2.31026; verilight - 2.32423; disc_gan - 0.20599
00000153) perceptual - 144.74487; gen_gan - 0.68199; feature_matching - 5.94529; equivariance_value - 0.76621; equivariance_jacobian - 0.95608; kp_distance - 2.88720; verilight - 2.29286; disc_gan - 0.21743
00000149) perceptual - 127.97784; gen_gan - 0.45916; feature_matching - 4.27935; equivariance_value - 0.83410; equivariance_jacobian - 0.96648; kp_distance - 3.28809; verilight - 1.93173; disc_gan - 0.36445
00000149) perceptual - 160.10416; gen_gan - 0.66790; feature_matching - 5.99242; equivariance_value - 1.61625; equivariance_jacobian - 2.12008; kp_distance - 1.49697; verilight - 1.64981; disc_gan - 0.25954
00000150) perceptual - 160.72556; gen_gan - 0.74582; feature_matching - 6.56989; equivariance_value - 1.89766; equivariance_jacobian - 1.61859; kp_distance - 1.51992; verilight - 0.95532; disc_gan - 0.18760
00000151) perceptual - 158.88010; gen_gan - 0.74437; feature_matching - 6.58859; equivariance_value - 2.08086; equivariance_jacobian - 1.55970; kp_distance - 1.95293; verilight - 1.06205; disc_gan - 0.18074
00000152) perceptual - 154.27750; gen_gan - 0.74098; feature_matching - 6.50565; equivariance_value - 2.05005; equivariance_jacobian - 1.34888; kp_distance - 2.02430; verilight - 1.18988; disc_gan - 0.18892
00000153) perceptual - 157.08546; gen_gan - 0.76323; feature_matching - 6.58903; equivariance_value - 2.03332; equivariance_jacobian - 1.39622; kp_distance - 2.04563; verilight - 1.56042; disc_gan - 0.17521
00000149) perceptual - 133.57912; gen_gan - 0.56093; feature_matching - 5.17082; equivariance_value - 0.53491; equivariance_jacobian - 0.83039; kp_distance - 2.52190; verilight - 2.69495; disc_gan - 0.39781
00000150) perceptual - 170.82756; gen_gan - 0.60067; feature_matching - 6.51047; equivariance_value - 1.37666; equivariance_jacobian - 1.52592; kp_distance - 3.79894; verilight - 2.89104; disc_gan - 0.32552
00000151) perceptual - 160.88451; gen_gan - 0.65356; feature_matching - 6.60382; equivariance_value - 1.51080; equivariance_jacobian - 1.54274; kp_distance - 4.03894; verilight - 1.83583; disc_gan - 0.23577
00000152) perceptual - 149.58124; gen_gan - 0.65158; feature_matching - 6.23061; equivariance_value - 1.33177; equivariance_jacobian - 1.06088; kp_distance - 4.35344; verilight - 2.16157; disc_gan - 0.22306
00000153) perceptual - 143.83969; gen_gan - 0.63543; feature_matching - 5.96882; equivariance_value - 1.34959; equivariance_jacobian - 1.06150; kp_distance - 3.92169; verilight - 1.65313; disc_gan - 0.23044
00000154) perceptual - 139.13446; gen_gan - 0.65168; feature_matching - 5.86073; equivariance_value - 1.22066; equivariance_jacobian - 0.99599; kp_distance - 3.81206; verilight - 1.49873; disc_gan - 0.22463
00000155) perceptual - 148.77048; gen_gan - 0.67462; feature_matching - 5.95466; equivariance_value - 1.58949; equivariance_jacobian - 8.52250; kp_distance - 4.10582; verilight - 1.93477; disc_gan - 0.25265
